"Código IBGE do Município","Nome do Município","Código da Unidade da Federação","Sigla da Unidade da Federação","Nome das Grandes Regiões","Código IBGE da Mesoregião","Nome da Mesoregião","Código IBGE da Microregião","Nome da Microregião","População residente","População residente rural","População residente urbana","Homens","Homens de 1 a 4 anos de idade","Homens de 10 a 14 anos de idade","Homens de 100 anos ou mais de idade","Homens de 15 a 19 anos de idade","Homens de 20 a 24 anos de idade","Homens de 25 a 29 anos de idade","Homens de 30 a 34 anos de idade","Homens de 35 a 39 anos de idade","Homens de 40 a 44 anos de idade","Homens de 45 a 49 anos de idade","Homens de 5 a 9 anos de idade","Homens de 50 a 54 anos de idade","Homens de 55 a 59 anos de idade","Homens de 60 a 64 anos de idade","Homens de 65 a 69 anos de idade","Homens de 70 a 74 anos de idade","Homens de 75 a 79 anos de idade","Homens de 80 a 84 anos de idade","Homens de 85 a 89 anos de idade","Homens de 90 a 94 anos de idade","Homens de 95 a 99 anos de idade","Homens de menos de 1 ano de idade","Homens na área rural","Homens na área urbana","Média de moradores em domicílios particulares ocupados","Mulheres","Mulheres de 1 a 4 anos de idade","Mulheres de 10 a 14 anos de idade","Mulheres de 100 anos ou mais de idade","Mulheres de 15 a 19 anos de idade","Mulheres de 20 a 24 anos de idade","Mulheres de 25 a 29 anos de idade","Mulheres de 30 a 34 anos de idade","Mulheres de 35 a 39 anos de idade","Mulheres de 40 a 44 anos de idade","Mulheres de 45 a 49 anos de idade","Mulheres de 5 a 9 anos de idade","Mulheres de 50 a 54 anos de idade","Mulheres de 55 a 59 anos de idade","Mulheres de 60 a 64 anos de idade","Mulheres de 65 a 69 anos de idade","Mulheres de 70 a 74 anos de idade","Mulheres de 75 a 79 anos de idade","Mulheres de 80 a 84 anos de idade","Mulheres de 85 a 89 anos de idade","Mulheres de 90 a 94 anos de idade","Mulheres de 95 a 99 anos de idade","Mulheres de menos de 1 ano de idade","Mulheres na área rural","Mulheres na área urbana"
"250010","ÁGUA BRANCA","25","PB","Nordeste","2501","SertÒo Paraibano","25007","Serra do Teixeira","9449","5388","4061","4719","315","550",".","526","469","358","307","268","277","237","494","183","151","135","126","105","64","44","20","10","1","79","2768","1951","3.69","4730","294","576",".","496","399","359","314","275","292","236","424","208","175","179","138","126","70","63","27","9","2","68","2620","2110"
"250020","AGUIAR","25","PB","Nordeste","2501","SertÒo Paraibano","25005","Pianc¾","5530","2829","2701","2706","175","274",".","257","183","202","213","177","165","135","255","127","121","90","84","92","52","22","28","13","7","34","1431","1275","3.33","2824","163","277","2","259","214","221","209","172","143","163","226","149","150","100","116","81","62","40","18","9","6","44","1398","1426"
"250030","ALAGOA GRANDE","25","PB","Nordeste","2503","Agreste Paraibano","25015","Brejo Paraibano","28479","10948","17531","13861","929","1518",".","1493","1155","1101","936","850","833","728","1284","546","563","447","384","333","224","152","103","47","13","222","5528","8333","3.55","14618","895","1423","4","1469","1142","1113","1036","906","854","743","1251","641","564","563","522","448","342","252","150","63","22","215","5420","9198"
"250040","ALAGOA NOVA","25","PB","Nordeste","2503","Agreste Paraibano","25015","Brejo Paraibano","19681","9887","9794","9761","697","987","3","991","883","826","693","588","577","475","1008","396","339","315","237","208","153","106","76","22","4","177","5001","4760","3.62","9920","622","936",".","947","904","834","691","617","588","513","847","431","379","386","325","268","182","137","79","53","21","160","4886","5034"
"250050","ALAGOINHA","25","PB","Nordeste","2503","Agreste Paraibano","25016","Guarabira","13576","4542","9034","6704","474","748",".","726","648","553","454","420","374","305","660","252","203","213","179","133","101","68","44","16","9","124","2309","4395","3.67","6872","439","684","1","735","580","521","539","467","394","319","618","267","246","247","201","189","110","89","64","27","15","120","2233","4639"
"250053","ALCANTIL","25","PB","Nordeste","2502","Borborema","25011","Cariri Oriental","5239","3175","2064","2624","177","259","1","292","223","180","196","171","181","144","230","97","83","86","66","63","42","34","31","27","4","37","1617","1007","3.34","2615","161","262","1","249","218","192","193","177","187","157","212","114","101","76","81","61","41","41","27","16","3","45","1558","1057"
"250057","ALGODÃO DE JANDAÍRA","25","PB","Nordeste","2503","Agreste Paraibano","25012","Curimata· Ocidental","2366","1135","1231","1217","108","117",".","136","107","91","96","69","57","59","113","52","42","45","37","26","19","11","5","3","2","22","610","607","3.5","1149","77","110",".","107","113","95","81","69","58","61","116","47","39","54","29","36","18","11","6","5","3","14","525","624"
"250060","ALHANDRA","25","PB","Nordeste","2504","Mata Paraibana","25023","Litoral Sul","18007","6854","11153","8864","666","993","1","919","799","779","721","644","549","460","872","335","255","223","165","120","82","66","32","12","1","170","3454","5410","3.57","9143","687","953","2","892","858","850","782","712","528","487","855","305","314","217","190","151","100","59","23","15","3","160","3400","5743"
"250070","SÃO JOÃO DO RIO DO PEIXE","25","PB","Nordeste","2501","SertÒo Paraibano","25002","Cajazeiras","18201","11316","6885","8940","498","797",".","797","764","696","695","640","557","571","691","438","400","363","319","254","128","118","71","29","8","106","5689","3251","3.38","9261","438","809","2","797","740","779","670","626","626","540","657","474","467","432","361","291","178","127","93","31","19","104","5627","3634"
"250073","AMPARO","25","PB","Nordeste","2502","Borborema","25010","Cariri Ocidental","2088","1026","1062","1047","89","68",".","95","113","86","94","58","53","68","86","43","41","35","26","37","12","11","8","1","1","22","530","517","3.28","1041","72","96",".","102","87","90","76","71","62","59","98","48","28","43","35","29","13","9","5",".","1","17","496","545"
